pl_name,disc_year,x,y,z
Kepler-306 e,2014,187.20919892225012,-558.255457166833,504.95690056017605
Kepler-307 b,2013,204.3430789842497,-387.6515909734952,373.1804357786656
Kepler-307 c,2013,204.3430789842497,-387.6515909734952,373.1804357786656
Kepler-308 b,2014,442.2880198786724,-915.5184303946588,866.5388378367722
Kepler-308 c,2014,442.2880198786724,-915.5184303946588,866.5388378367722
Kepler-309 b,2014,171.67161251175625,-329.63914719913805,398.021603327556
Kepler-309 c,2014,171.67161251175625,-329.63914719913805,398.021603327556
Kepler-31 b,2011,472.0055443157679,-1058.996386391139,1194.4721634871553
Kepler-31 c,2011,472.0055443157679,-1058.996386391139,1194.4721634871553
Kepler-31 d,2014,472.0055443157679,-1058.996386391139,1194.4721634871553
Kepler-310 b,2014,132.66869820953443,-388.8377767366477,440.3759118320261
Kepler-310 c,2014,132.66869820953443,-388.8377767366477,440.3759118320261
Kepler-310 d,2014,132.66869820953443,-388.8377767366477,440.3759118320261
Kepler-311 b,2014,110.78731949552652,-518.4862652850472,570.263285041006
Kepler-311 c,2014,110.78731949552652,-518.4862652850472,570.263285041006
Kepler-311 d,2023,110.78731949552652,-518.4862652850472,570.263285041006
Kepler-312 b,2014,279.8757133221147,-517.7106827498989,538.5187391902635
Kepler-312 c,2014,279.8757133221147,-517.7106827498989,538.5187391902635
Kepler-314 b,2014,83.31607523371702,-181.3576182139095,180.18001577430124
Kepler-314 c,2014,83.31607523371702,-181.3576182139095,180.18001577430124
Kepler-315 b,2014,396.4368978396576,-744.8648401027718,796.9166536783764
Kepler-315 c,2014,396.4368978396576,-744.8648401027718,796.9166536783764
Kepler-316 b,2014,98.14061865565236,-258.0064915249506,268.28778046133857
Kepler-316 c,2014,98.14061865565236,-258.0064915249506,268.28778046133857
Kepler-317 b,2014,308.1330173638136,-662.4866847117983,592.3374859367269
Kepler-317 c,2014,308.1330173638136,-662.4866847117983,592.3374859367269
Kepler-318 b,2014,159.70258244179502,-294.34583803124247,356.53124782563907
Kepler-318 c,2014,159.70258244179502,-294.34583803124247,356.53124782563907
Kepler-319 b,2014,124.77620673868029,-366.2766805354691,322.0560473331063
Kepler-319 c,2014,124.77620673868029,-366.2766805354691,322.0560473331063
Kepler-319 d,2014,124.77620673868029,-366.2766805354691,322.0560473331063
Kepler-32 b,2011,103.9707436666446,-196.84560726712024,235.19942765670908
Kepler-32 c,2011,103.9707436666446,-196.84560726712024,235.19942765670908
Kepler-32 d,2012,103.9707436666446,-196.84560726712024,235.19942765670908
Kepler-32 e,2012,103.9707436666446,-196.84560726712024,235.19942765670908
Kepler-32 f,2012,103.9707436666446,-196.84560726712024,235.19942765670908
Kepler-320 b,2014,225.6138056814613,-526.0537021853955,596.368145420232
Kepler-320 c,2014,225.6138056814613,-526.0537021853955,596.368145420232
Kepler-321 b,2014,114.22580602727254,-251.1833653084049,267.8281762506781
Kepler-321 c,2014,114.22580602727254,-251.1833653084049,267.8281762506781
Kepler-322 b,2014,56.405896480712975,-281.0392204859981,279.6776033057164
Kepler-322 c,2014,56.405896480712975,-281.0392204859981,279.6776033057164
Kepler-323 b,2014,130.46048990772394,-333.198910501492,280.8506548018988
Kepler-323 c,2014,130.46048990772394,-333.198910501492,280.8506548018988
Kepler-324 b,2014,92.07956250388476,-311.42521049261467,382.2462163510894
Kepler-324 c,2014,92.07956250388476,-311.42521049261467,382.2462163510894
Kepler-324 e,2021,92.07956250388476,-311.42521049261467,382.2462163510894
Kepler-325 b,2014,180.208126815004,-499.57804452718665,629.0263897645468
Kepler-325 c,2014,180.208126815004,-499.57804452718665,629.0263897645468
Kepler-325 d,2014,180.208126815004,-499.57804452718665,629.0263897645468
Kepler-326 b,2014,139.53987112685385,-308.67889986194274,350.8174265496538
Kepler-326 c,2014,139.53987112685385,-308.67889986194274,350.8174265496538
Kepler-326 d,2014,139.53987112685385,-308.67889986194274,350.8174265496538
Kepler-327 b,2014,66.91419176288319,-160.41713494767842,168.36431309781304
Kepler-327 c,2014,66.91419176288319,-160.41713494767842,168.36431309781304
Kepler-327 d,2014,66.91419176288319,-160.41713494767842,168.36431309781304
